Empresa;snapshot;mes;ano;bacia_hidrografica;latitude;longitude;recolha_agua;indice_seca;precipitation;soil_moisture_225;processo_representativo;pre_tratamento;origem;Line;ID Processo;Estrutura;Fibra;Corante;Cor;Máquina;R:B;Banho;Banho simplif.;banho_representativo;pH;Condutividade;Alcalinidade;Dureza;Cor_p;Turbidez;Sólidos suspensos totais;Carência química de oxigénio;Carência bioquímica de oxigénio;Carbono orgânico total;Azoto total;Azoto amoniacal;Nitratos;Nitritos;Fósforo total;Alumínio;Chumbo;Cobre;Crómio total;Ferro;Manganês;Magnésio;Zinco;Cálcio;Cloretos;Sulfatos;Sulfitos;Sulfuretos;Hidrocarbonetos totais;Óleos e gorduras;Detergentes aniónicos
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P1;Fio;Algodão;Reativos;Branco ótico;Autoclave;;Branqueio;Preparação;Branqueamento;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P1;Fio;Algodão;Reativos;Branco ótico;Autoclave;;Lav. PP 1;Lav. PP 1;Preparação;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P1;Fio;Algodão;Reativos;Branco ótico;Autoclave;;Lav. PP 2;Lav. PP 2;Preparação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P1;Fio;Algodão;Reativos;Branco ótico;Autoclave;;Lav. PP 3;Lav. PP 3;Preparação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P1;Fio;Algodão;Reativos;Branco ótico;Autoclave;;Lav. PP 4;Lav. PP 4;Preparação;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P1;Fio;Algodão;Reativos;Branco ótico;Autoclave;;Amaciamento;Amaciamento;Amaciamento;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P2;Fio;Algodão;Reativos;Média;Autoclave;;1/2 branco 1;Preparação;Branqueamento;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P2;Fio;Algodão;Reativos;Média;Autoclave;;Tingimento 1;Tingimento 1;Tingimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P2;Fio;Algodão;Reativos;Média;Autoclave;;Lav. PT 1;Lav. PT 1;Tingimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P2;Fio;Algodão;Reativos;Média;Autoclave;;Lav. PT 2;Lav. PT 2;Tingimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
